replicate;volume;0;15;30;45;60;75;90;105;120;135;150;165;180;195;210;225;240
1;116.8;0;16.5846;45.0696;61.401;73.6812;79.3782;83.6826;86.2146;89.5062;91.785;92.7978;94.95;97.3554;97.482;99.2544;99.7608;101.1534
2;116.8;0;11.2674;27.9786;39.1194;49.1208;56.2104;60.135;65.3256;70.0098;72.6684;75.5802;78.9984;81.1506;83.8092;86.9742;88.2402;90.2658
3;116.8;0;36.5874;44.55054;64.8192;75.8334;82.7964;88.9998;93.5574;95.8362;96.7224;98.115;96.7224;96.849;96.9756;97.7352;96.3426;96.3426
4;116.8;0;28.8648;40.3854;48.3612;55.5774;60.5148;64.4394;67.098;70.7694;74.061;76.593;77.4792;79.125;80.391;81.024;81.2772;81.2772
5;116.8;0;26.7126;42.1578;57.7296;66.8448;75.4536;81.024;87.2274;90.3924;92.418;91.9116;93.4308;93.5574;93.4308;92.6712;93.8106;92.6712
1;87.6;0;5.1906;9.2418;12.2802;16.2048;19.1166;22.2816;25.32;28.6116;31.017;33.8022;35.1948;38.8662;41.5248;44.1834;46.4622;48.8676
2;87.6;0;25.32;34.4352;40.6386;45.3228;47.8548;50.7666;52.2858;53.5518;53.5518;52.539;53.4252;53.2986;53.4252;53.4252;52.6656;52.7922
3;87.6;0;20.0028;27.852;34.182;40.1322;43.1706;46.3356;50.5134;52.6656;54.6912;55.704;56.7168;58.1094;59.1222;59.7552;60.135;58.6158
4;87.6;0;17.9772;24.054;29.6244;34.5618;37.7268;40.512;45.3228;44.0568;44.6898;45.4494;44.8164;45.0696;44.8164;45.3228;44.943;44.31
5;87.6;0;5.4438;8.7354;13.7994;18.6102;23.2944;26.8392;33.2958;39.879;45.576;49.8804;54.438;59.2488;62.9202;65.9586;72.795;72.2886
1;58.4;0;13.1664;20.889;26.4594;32.4096;35.3214;38.8662;40.6386;42.1578;42.5376;41.5248;42.7908;42.9174;42.6642;42.2844;41.6514;42.6642
2;58.4;0;10.761;15.5718;19.4964;23.6742;26.586;30.2574;33.8022;37.2204;39.1194;39.3726;40.1322;41.3982;41.0184;41.2716;41.6514;40.8918
3;58.4;0;5.9502;9.8748;14.6856;23.8008;28.8648;33.6756;37.347;41.145;42.9174;42.0312;44.1834;43.044;43.044;43.8036;42.5376;43.044
4;58.4;0;11.2674;13.6728;17.091;19.7496;21.1422;23.0412;24.5604;25.953;25.8264;25.0668;24.9402;25.5732;25.6998;25.8264;25.4466;24.9402
5;58.4;0;6.963;11.0142;15.5718;19.3698;23.5476;26.2062;30.6372;34.0554;37.0938;37.7268;38.9928;39.4992;39.879;40.8918;38.9928;39.6258
1;29.2;0;3.9246;7.8492;9.8748;12.2802;11.9004;12.2802;12.2802;13.0398;13.4196;11.7738;12.2802;12.2802;11.9004;12.027;13.1664;12.027
2;29.2;0;5.4438;7.8492;10.3812;10.6344;11.2674;10.8876;11.0142;11.2674;11.2674;10.5078;10.3812;11.7738;10.128;12.4068;10.761;9.8748
3;29.2;0;6.2034;10.5078;14.0526;15.5718;16.5846;16.7112;16.5846;17.091;16.9644;15.5718;17.2176;16.3314;15.825;17.091;16.2048;15.6984
4;29.2;0;8.862;11.9004;13.1664;14.4324;13.293;13.4196;14.0526;14.3058;14.0526;12.9132;13.293;13.0398;14.3058;13.926;13.0398;12.4068
5;29.2;0;7.2162;9.6216;13.4196;15.3186;15.825;15.9516;16.458;17.091;16.8378;15.6984;15.825;16.9644;16.7112;16.8378;16.458;15.825
